博时基金管理有限公司|公募产品直销|205
鹏华基金管理有限公司|公募TA|06
鹏华基金管理有限公司|公募产品直销|206
嘉实基金管理有限公司|公募TA|07
嘉实基金管理有限公司|公募产品直销|207
长盛基金管理有限公司|公募TA|08
长盛基金管理有限公司|公募产品直销|208
大成基金管理有限公司|公募TA|09
大成基金管理有限公司|公募产品直销|209
富国基金管理有限公司|公募TA|10
富国基金管理有限公司|公募产品直销|210
易方达基金管理有限公司|公募TA|11
易方达基金管理有限公司|公募产品直销|211
国投瑞银基金管理有限公司|公募TA|12
国投瑞银基金管理有限公司|公募产品直销|212
宝盈基金管理有限公司|公募TA|13
宝盈基金管理有限公司|公募产品直销|213
太平基金管理有限公司|公募TA|14
太平基金管理有限公司|公募产品直销|214
银河基金管理有限公司|公募TA|15
银河基金管理有限公司|公募产品直销|215
融通基金管理有限公司|公募TA|16
融通基金管理有限公司|公募产品直销|216
招商基金管理有限公司|公募TA|17
招商基金管理有限公司|公募产品直销|217
招商基金管理有限公司|外包TA|SG
银华基金管理股份有限公司|公募TA|18
银华基金管理股份有限公司|公募产品直销|218
万家基金管理有限公司|公募TA|19
万家基金管理有限公司|公募产品直销|219
长城基金管理有限公司|公募TA|20
长城基金管理有限公司|公募产品直销|220
金鹰基金管理有限公司|公募TA|21
金鹰基金管理有限公司|公募产品直销|221
泰达宏利基金管理有限公司|公募TA|22
泰达宏利基金管理有限公司|公募产品直销|222
海富通基金管理有限公司|公募TA|23
海富通基金管理有限公司|公募产品直销|223
华宝基金管理有限公司|公募TA|24
华宝基金管理有限公司|公募产品直销|224
国联安基金管理有限公司|公募TA|25
国联安基金管理有限公司|公募产品直销|225
景顺长城基金管理有限公司|公募TA|26
景顺长城基金管理有限公司|公募产品直销|226
广发基金管理有限公司|公募TA|27
广发基金管理有限公司|公募产品直销|227
泰信基金管理有限公司|公募TA|29
泰信基金管理有限公司|公募产品直销|229
长信基金管理有限责任公司|公募TA|30
长信基金管理有限责任公司|公募产品直销|230
申万菱信基金管理有限公司|公募TA|31
申万菱信基金管理有限公司|公募产品直销|231
诺安基金管理有限公司|公募TA|32
诺安基金管理有限公司|公募产品直销|232
摩根士丹利华鑫基金管理有限公司|公募TA|33
摩根士丹利华鑫基金管理有限公司|公募产品直销|233
兴全基金管理有限公司|公募TA|34
兴全基金管理有限公司|公募产品直销|234
天治基金管理有限公司|公募TA|35
天治基金管理有限公司|公募产品直销|235
光大保德信基金管理有限公司|公募TA|36
光大保德信基金管理有限公司|公募产品直销|236
上投摩根基金管理有限公司|公募TA|37
上投摩根基金管理有限公司|公募产品直销|237
中银基金管理有限公司|公募TA|38
中银基金管理有限公司|公募产品直销|238
中海基金管理有限公司|公募TA|39
中海基金管理有限公司|公募产品直销|239
东方基金管理有限责任公司|公募TA|40
东方基金管理有限责任公司|公募产品直销|240
华富基金管理有限公司|公募TA|41
华富基金管理有限公司|公募产品直销|241
天弘基金管理有限公司|公募TA|42
天弘基金管理有限公司|公募产品直销|242
新华基金管理股份有限公司|公募TA|43
新华基金管理股份有限公司|公募产品直销|243
前海开源基金管理有限公司|公募TA|44
前海开源基金管理有限公司|公募产品直销|244
国海富兰克林基金管理有限公司|公募TA|45
国海富兰克林基金管理有限公司|公募产品直销|245
华泰柏瑞基金管理有限公司|公募TA|46
华泰柏瑞基金管理有限公司|公募产品直销|246
汇添富基金管理股份有限公司|公募TA|47
汇添富基金管理股份有限公司|公募产品直销|247
工银瑞信基金管理有限公司|公募TA|48
工银瑞信基金管理有限公司|公募产品直销|248
工银瑞信基金管理有限公司|外包TA|SC
交银施罗德基金管理有限公司|公募TA|49
交银施罗德基金管理有限公司|公募产品直销|249
建信基金管理有限责任公司|公募TA|53
建信基金管理有限责任公司|公募产品直销|253
汇丰晋信基金管理有限公司|公募TA|54
汇丰晋信基金管理有限公司|公募产品直销|254
中信保诚基金管理有限公司|公募TA|55
中信保诚基金管理有限公司|公募产品直销|255
益民基金管理有限公司|公募TA|56
益民基金管理有限公司|公募产品直销|256
诺德基金管理有限公司|公募TA|57
诺德基金管理有限公司|公募产品直销|257
东吴基金管理有限公司|公募TA|58
东吴基金管理有限公司|公募产品直销|258
中邮创业基金管理股份有限公司|公募TA|59
中邮创业基金管理股份有限公司|公募产品直销|259
中欧基金管理有限公司|公募TA|60
中欧基金管理有限公司|公募产品直销|260
信达澳银基金管理有限公司|公募TA|61
信达澳银基金管理有限公司|公募产品直销|261
金元顺安基金管理有限公司|公募TA|62
金元顺安基金管理有限公司|公募产品直销|262
华商基金管理有限公司|公募TA|63
华商基金管理有限公司|公募产品直销|263
浦银安盛基金管理有限公司|公募TA|64
浦银安盛基金管理有限公司|公募产品直销|264
英大基金管理有限公司|公募TA|65
英大基金管理有限公司|公募产品直销|265
农银汇理基金管理有限公司|公募TA|66
农银汇理基金管理有限公司|公募产品直销|266
西部利得基金管理有限公司|公募TA|67
西部利得基金管理有限公司|公募产品直销|267
浙商基金管理有限公司|公募TA|68
浙商基金管理有限公司|公募产品直销|268
民生加银基金管理有限公司|公募TA|69
民生加银基金管理有限公司|公募产品直销|269
平安大华基金管理有限公司|公募TA|70
平安大华基金管理有限公司|公募产品直销|270
富安达基金管理有限公司|公募TA|71
富安达基金管理有限公司|公募产品直销|271
财通基金管理有限公司|公募TA|72
财通基金管理有限公司|公募产品直销|272
方正富邦基金管理有限公司|公募TA|73
方正富邦基金管理有限公司|公募产品直销|273
长安基金管理有限公司|公募TA|74
长安基金管理有限公司|公募产品直销|274
长安基金管理有限公司|外包TA|SF
安信基金管理有限责任公司|公募TA|75
安信基金管理有限责任公司|公募产品直销|275
国金基金管理有限公司|公募TA|76
国金基金管理有限公司|公募产品直销|276
德邦基金管理有限公司|公募TA|77
德邦基金管理有限公司|公募产品直销|277
红塔红土基金管理有限公司|公募TA|78
红塔红土基金管理有限公司|公募产品直销|278
华宸未来基金管理有限公司|公募TA|79
华宸未来基金管理有限公司|公募产品直销|279
华润元大基金管理有限公司|公募TA|0A
华润元大基金管理有限公司|公募产品直销|285
东海基金管理有限责任公司|公募TA|0B
东海基金管理有限责任公司|公募产品直销|286
江信基金管理有限公司|公募TA|0C
江信基金管理有限公司|公募产品直销|287
